area,price
4651,526974
4176,493410
1034,145698
3302,372715
1524,142078
555,81170
1305,164800
2147,269532
2324,301784
3134,388909
1095,126540
2202,259273
1726,201373
3857,468175
4318,513057
2543,302589
1450,176613
4706,564096
2853,343940
2691,359628
4253,527258
1067,150830
2897,357867
3551,450925
3915,441481
4321,473182
2643,332870
897,124154
3369,385224
2839,322457
2988,375733
768,105634
2926,329321
3468,390691
1834,196028
666,84818
3217,390441
1635,176637
4989,605259
1523,203796
635,105787
1821,220515
2069,253066
2998,369261
3981,487037
2559,299978
4055,475410
4111,493072
1286,150438
4925,611215
1956,253051
1712,196737
4615,566798
4035,506291
1581,190563
1394,195997
2268,283430
1411,139462
4504,549719
3256,402063
2150,250809
1663,182823
842,104257
3988,484807
1635,204146
2028,246750
772,98791
638,55167
816,112936
4782,570860
986,148422
3658,470324
1808,241191
623,61531
1150,130943
1712,206376
4917,594959
3698,434599
4776,582942
4886,567837
1809,209938
1072,95792
4368,536625
3603,420974
627,81835
2829,352981
2375,271456
997,124554
1257,132298
1253,181950
4622,570067
4695,589230
682,120267
2897,356129
3886,478181
1143,131782
4532,553016
1751,221764
3178,386986
4181,467916
2136,248166
690,123483
636,67968
3237,423951
2615,297570
4722,511835
4143,488339
1460,157275
1725,201623
3451,422909
1502,207672
3774,481678
561,60417
2168,289767
2523,331170
2968,377874
4839,568495
636,83677
870,67571
3643,426575
4043,492584
3805,459902
4654,570664
2625,307229
2968,341672
2890,356700
2433,307543
966,111883
4930,607791
1064,108793
3568,416073
4150,491296
617,63882
1991,250833
4601,564889
1508,155701
1123,159385
1752,209257
3837,448679
4166,533630
2751,349603
4279,511784
3958,481179
1771,222594
4078,500296
3167,385312
797,127685
2295,262261
2890,334016
3010,338138
981,119354
1742,200161
2974,380782
3073,363400
3143,358085
2549,322707
4211,487396
2253,288931
1303,150856
1031,100979
3321,367790
1555,168630
3636,447293
807,77187
1518,202427
3267,428251
1093,134848
1303,149546
1665,187077
3849,401267
1242,141629
2816,329538
3462,412060
1090,141527
3975,464726
658,51992
1308,152876
918,101086
2802,349730
1104,136983
4915,590285
1649,221758
4831,576601
4926,592614
3870,465066
3481,407089
1960,244074
2983,376356
3190,387413
3484,411684
2177,248526
2396,309536
1570,160781
3357,403095
3188,393485
4688,570067
3141,410397
958,129355
1767,217442
2806,313655
4181,532265
4265,532544
525,96160
4824,569997
566,60765
1376,143638
4245,462102
4600,520679
4504,532575
2356,276227
3394,417491
3424,374101
1262,170661
1163,172061
2791,300172
900,103012
1345,153895
2377,254183
2098,234829
804,59549
4559,545999
2079,253269
4870,601513
3734,438513
1806,244516
4057,477512
4512,541122
4316,512798
1765,177041
1446,169478
1287,191092
699,53436
877,126043
3061,394271
1910,218760
1245,135007
4669,599581
4465,556168
2079,258228
2839,338921
3389,374410
2159,271308
4612,553088
3642,431384
3320,451214
1434,215211
3502,392943
2781,349448
3360,435467
1650,197597
3804,439058
4132,494196
4733,580079
2523,271841
819,138652
4337,532939
1331,130367
1636,215335
4538,542751
940,133325
940,114066
4487,575674
1474,173475
4452,567978
3402,400552
1708,204522
640,79650
518,33346
4764,544608
2209,245662
1985,195391
3534,406429
1311,137204
1632,197920
3731,449672
3016,385118
3187,403824
2154,272882
4195,525557
2066,262508
3627,458356
2153,262972
772,66452
2455,295833
4685,572796
2691,281062
3025,388958
3240,414069
2131,265789
2930,335062
4676,560551
2131,262968
2610,331604
3411,440554
1448,189199
4214,514794
4763,546473
3474,438736
1021,149811
4857,610462
4583,556686
1265,137200
3040,340354
1883,217927
1888,245843
557,69044
700,96347
1029,103062
1819,254893
2221,275346
4217,484093
1713,215747
2180,234171
1446,189050
4126,485122
1071,129019
4724,584511
1138,157332
3150,375151
3332,383200
2786,327823
4570,576629
4051,508806
3317,411312
997,82169
3623,398100
1430,188172
1562,210459
4765,585146
3751,455898
2275,259177
2917,353731
4067,508120
559,33954
1361,211713
4299,517893
3286,400572
3338,393148
2061,263273
4513,502291
1705,200346
4566,531035
4300,559441
4626,565725
2070,267918
1729,201001
1610,156626
2568,310667
2103,266455
3729,475458
2425,316810
4994,600565
990,110749
3920,489612
3181,416781
1701,240253
4638,521577
4148,506423
2139,262735
2820,338300
3080,348549
766,89787
4856,592333
1030,131842
1659,193256
2141,259778
625,66760
2801,303664
4877,553822
2516,324669
3025,363003
4864,589618
3875,461626
2367,288020
4413,535545
4665,588542
3194,388766
4358,543560
3383,404993
1960,221942
4368,514674
2293,244614
1321,147090
3360,405988
2303,267599
3962,462270
1311,170973
4997,560998
3744,441914
4379,555248
4802,564897
4344,549679
4180,478023
1901,195817
1967,227989
2361,285995
2488,297655
2567,305738
2094,206339
3525,423811
4185,527703
1444,187199
1582,157802
4315,529910
4239,484450
4367,529117
3872,513734
4488,515978
671,46499
4988,609787
2766,347931
3627,424012
1865,233242
4969,597826
566,75736
4537,537112
1583,184594
4678,553383
3194,360744
1606,135490
3820,454053
3063,374052
2234,307075
3707,446845
3155,397776
3548,398647
4545,565393
1277,148858
1721,217201
2247,282205
3310,394994
3681,452482
1001,167217
869,117248
1231,151983
1004,146992
3421,430905
3393,390791
947,143440
4682,528149
3527,393865
4900,593106
2495,312566
4184,484358
4916,602892
3324,377349
602,73380
2004,225706
737,123593
4268,526028
1193,120977
3058,363309
2579,319291
4762,580605
1495,197841
1600,195709
2904,354041
770,107235
4618,531087
4049,516760
4093,467028
2689,282134
4977,597984
4831,583753
532,88888
2434,287079
1456,205319
3614,434341
3703,451523
3027,356488
634,109498
2963,370853
4258,527985
579,79979
2289,276821
3819,464450
625,36424
4443,538480
2681,359270
4249,507344
4825,567219
2542,306789
2259,306200
1477,192995
3627,459093
2563,321912
3334,398941
3896,476998
4579,528148
1937,217594
2683,311492
4985,597535
3879,465539
4635,538672
2699,329159
4039,421781
1610,208126
4030,480389
803,83778
1582,216315
3926,458650
703,100877
4207,508333
3699,454164
2971,349322
2360,272002
1874,226981
2463,304969
1756,188288
4641,572249
3479,417269
1491,182844
930,85740
4670,544764
3006,346509
3045,364320
4133,545336
3639,448711
3510,401970
1623,166705
3374,391854
925,113907
959,132694
4130,480362
2945,363751
2977,384701
4737,551131
4395,543759
4374,520549
3417,412261
2630,320180
3036,369867
1442,172120
1666,206099
2747,320396
3297,398437
3787,440058
2130,255444
4139,477016
1975,212800
2453,270771
3691,434250
640,76145
4791,559098
1802,212605
4914,597394
1108,124896
4250,525715
1303,180530
3782,441440
1545,182980
1599,214219
1202,132861
3715,450489
1342,195146
892,123529
4177,517751
