area,bedrooms,age,price
2530,3.0,15,303663
4182,3.0,9,541361
1208,6.0,23,209196
3872,4.0,19,488287
1747,5.0,9,290631
4882,6.0,35,605308
3997,1.0,21,461168
3111,,9,418868
2394,6.0,28,339670
1259,5.0,7,193902
3411,4.0,16,359900
1969,1.0,16,218206
2586,4.0,33,360472
746,1.0,4,123776
3819,2.0,4,493346
3511,6.0,39,484048
2334,1.0,17,265669
2443,4.0,37,302464
1088,5.0,39,134790
3576,1.0,29,381957
2559,6.0,36,359558
2985,1.0,38,348791
3519,3.0,39,398701
2402,5.0,37,293324
4661,6.0,35,584030
3969,6.0,7,556071
862,2.0,27,53414
1223,4.0,28,98159
1616,2.0,22,172923
4243,6.0,14,524523
2649,5.0,7,355990
4323,1.0,37,463311
3708,1.0,22,401422
4690,5.0,5,651924
2656,6.0,2,402842
3770,,27,425164
2282,1.0,21,270896
2855,1.0,38,263560
1754,4.0,15,274883
3791,4.0,21,468492
2296,3.0,10,317154
4591,2.0,23,498209
2248,5.0,39,240107
2045,5.0,5,328711
4799,5.0,1,636977
4523,3.0,13,522483
853,4.0,21,106805
3783,6.0,26,527608
3157,6.0,21,392172
698,3.0,18,152950
2800,6.0,37,340581
3561,5.0,32,465266
4377,2.0,36,480296
3469,1.0,17,411630
3834,4.0,35,442586
4391,4.0,11,546881
1556,3.0,21,199967
4667,4.0,26,535439
760,5.0,4,179824
1900,6.0,34,252303
4587,5.0,18,574047
2127,3.0,35,217774
1818,5.0,29,172399
3704,6.0,29,475429
3335,2.0,38,440303
1554,3.0,21,222048
4046,2.0,13,479112
1645,1.0,17,175888
2293,2.0,9,283568
4036,1.0,1,494353
1162,1.0,2,110805
3085,2.0,29,383404
3954,3.0,33,481571
825,6.0,10,194420
1559,5.0,21,242239
3667,5.0,28,463693
1415,6.0,11,259710
3720,1.0,34,419754
616,1.0,8,65618
1843,3.0,22,213336
2805,4.0,8,376030
3124,2.0,15,417730
1669,1.0,17,149361
4044,5.0,23,468434
3165,3.0,24,385117
1660,2.0,19,199626
2927,3.0,5,380805
4020,2.0,32,461218
901,2.0,1,125718
4876,6.0,23,667835
1206,1.0,37,61262
3770,3.0,8,444095
1299,3.0,13,175687
1739,6.0,8,231089
790,5.0,23,132974
2900,5.0,1,457144
1580,1.0,24,168526
3575,1.0,35,391046
1784,4.0,24,198555
3927,6.0,17,502714
3994,5.0,5,517054
727,2.0,20,80073
2665,3.0,21,364724
2416,1.0,31,272370
1169,3.0,36,102891
2495,3.0,11,326120
3333,4.0,15,440241
4463,5.0,19,599649
4614,1.0,7,584626
3501,3.0,28,383562
2286,1.0,5,247564
3609,2.0,5,401307
754,4.0,30,103689
3137,2.0,32,366345
2009,1.0,8,266055
4657,1.0,10,536276
1384,5.0,38,178964
3775,3.0,32,445277
4941,3.0,28,554560
3406,2.0,17,463976
1137,4.0,31,105325
2441,6.0,8,366657
3055,3.0,25,427033
1124,5.0,9,193663
3550,2.0,2,430148
4731,2.0,15,545341
4715,6.0,3,623213
2968,5.0,36,414305
4447,4.0,4,500249
3301,5.0,14,483818
1571,4.0,25,167946
1766,5.0,10,258090
3374,5.0,21,424932
2582,1.0,36,286386
1453,2.0,12,134751
4746,5.0,27,602255
4336,6.0,2,646969
4369,5.0,13,520939
1174,3.0,32,147301
3861,2.0,31,416955
1748,3.0,16,239596
2315,2.0,32,258399
4454,3.0,32,499565
3091,5.0,34,404301
3260,5.0,11,490830
3724,1.0,10,425532
3651,6.0,15,513457
604,3.0,17,55261
1476,4.0,18,179446
1591,1.0,9,201337
4742,3.0,25,604853
4964,3.0,14,609728
1235,1.0,25,117633
2293,5.0,22,312273
2282,3.0,30,233917
719,5.0,20,151820
1430,1.0,21,180719
4275,5.0,32,514662
1969,2.0,21,217133
1340,4.0,35,180076
716,3.0,32,75838
3438,6.0,30,447386
1750,4.0,39,277441
2531,5.0,12,344254
1612,3.0,18,198029
2264,5.0,21,290733
1681,2.0,13,230040
1112,1.0,21,112243
3449,3.0,8,412553
1159,2.0,7,194524
4272,2.0,23,536268
3943,3.0,32,442032
4670,5.0,11,542853
2070,6.0,22,331875
1180,2.0,22,118761
2894,4.0,25,386528
3747,2.0,22,375401
4849,6.0,28,640812
2279,5.0,29,265949
4106,5.0,13,553512
3344,4.0,18,423388
3956,2.0,2,453921
4645,5.0,29,562163
1843,6.0,21,297334
3718,3.0,15,457746
2741,1.0,27,315347
3659,1.0,31,457878
3559,1.0,15,359357
2865,2.0,23,380391
3079,4.0,24,388415
2235,5.0,13,289461
2357,3.0,22,249745
2670,6.0,37,346976
3449,3.0,33,429684
3851,6.0,3,525438
4330,2.0,19,550484
3089,1.0,23,299099
2231,2.0,29,251402
3416,4.0,30,379268
1615,4.0,39,209833
1948,6.0,25,310626
3687,,37,441982
3439,5.0,8,382758
935,6.0,16,184293
1495,4.0,8,235427
4146,4.0,1,547718
1451,4.0,5,257938
2287,2.0,3,257273
2531,4.0,1,370271
4346,3.0,4,575765
3027,1.0,35,267747
2168,4.0,32,280509
4600,,34,563074
3338,1.0,25,366424
4098,2.0,10,499700
4513,6.0,21,569178
1666,1.0,39,139518
4980,6.0,27,631324
3044,2.0,27,315042
4707,3.0,2,551330
3973,2.0,13,491676
4569,2.0,9,510171
3146,6.0,36,428579
1353,5.0,22,218072
2682,4.0,26,285455
3374,4.0,12,413283
3496,3.0,17,462463
4785,3.0,14,549040
1375,4.0,14,187392
2225,5.0,34,303936
3669,,20,481436
1017,5.0,11,171208
714,3.0,16,89984
1216,1.0,31,160311
4574,6.0,6,660976
3867,3.0,19,496270
1425,3.0,37,167034
2116,2.0,4,244292
3746,2.0,4,431076
1012,2.0,20,138055
1328,6.0,10,243271
3948,2.0,24,497267
3408,5.0,35,444433
1275,4.0,26,130332
4065,1.0,37,469633
3104,3.0,38,326418
3567,5.0,21,448485
3386,1.0,39,365096
1722,5.0,21,307700
4679,5.0,10,694382
2171,3.0,38,267266
2743,4.0,4,365149
2287,2.0,20,285040
4732,6.0,17,640409
4451,4.0,7,553844
4040,6.0,4,603656
4366,3.0,29,519192
2926,3.0,14,379622
3514,3.0,3,465487
4552,1.0,24,522327
1195,6.0,37,208193
1328,4.0,16,175002
1965,4.0,4,264425
1298,5.0,24,162465
995,5.0,34,161810
4771,5.0,30,611033
4960,3.0,18,607533
3102,4.0,19,444164
2419,6.0,31,330817
1317,3.0,19,193717
3382,1.0,19,348378
4177,5.0,22,517342
743,3.0,24,122511
3740,3.0,12,486173
3538,1.0,30,377050
4236,2.0,38,469392
3822,4.0,31,416793
1767,6.0,36,239294
3216,2.0,19,403751
1662,5.0,36,240186
2756,3.0,30,340959
3582,1.0,33,388823
3894,1.0,18,441421
1756,4.0,28,208530
1332,2.0,11,190944
4930,4.0,33,599979
1553,3.0,17,217955
3139,4.0,6,398003
3924,6.0,4,471859
3901,1.0,20,472529
2142,1.0,27,214564
1791,5.0,15,237081
3593,5.0,6,501799
3281,3.0,14,393754
1817,6.0,11,317553
2140,2.0,39,247810
3836,4.0,9,510847
2986,3.0,26,316211
4319,5.0,16,588843
1988,4.0,5,290457
2456,5.0,10,334361
1965,4.0,3,286676
1099,2.0,13,87497
2280,3.0,30,283459
1110,4.0,6,149568
4912,6.0,17,593899
1924,1.0,19,167789
1755,6.0,35,283205
2427,6.0,26,319027
3741,,5,485226
4086,6.0,29,509015
2410,4.0,37,241529
3523,4.0,20,407649
2814,4.0,21,395484
4786,1.0,10,548713
1313,6.0,5,218546
4202,1.0,36,459830
4734,4.0,6,612263
4122,6.0,26,566351
4868,6.0,4,688474
1843,5.0,39,229351
4309,5.0,39,483953
1681,2.0,35,168911
1055,3.0,1,172933
1494,5.0,24,189097
1984,1.0,36,171245
2558,5.0,6,372283
3672,2.0,31,413620
2596,6.0,20,365523
4885,2.0,24,540220
1104,6.0,25,180047
1814,6.0,36,227683
2131,3.0,21,291570
4040,5.0,30,534657
1423,1.0,24,94459
1528,1.0,30,126834
733,4.0,22,72999
2705,6.0,28,347974
4227,1.0,7,490201
2452,3.0,35,241490
4775,6.0,28,577869
3533,3.0,14,404376
3884,1.0,10,455878
4898,1.0,16,561150
3411,4.0,16,411412
1850,1.0,31,195854
4112,6.0,25,516479
1856,6.0,13,279690
3976,6.0,6,590243
4086,4.0,9,559303
4184,4.0,36,458972
1996,1.0,20,245431
4237,2.0,18,519996
3930,2.0,21,422302
3303,4.0,4,459608
1070,1.0,33,144587
1953,2.0,27,188518
3383,1.0,7,368119
3431,1.0,6,432894
957,1.0,15,115199
3619,5.0,18,486129
1267,6.0,32,207522
1745,1.0,11,214195
4785,5.0,20,561480
4319,4.0,24,559304
3345,2.0,15,431762
1139,6.0,7,205703
3379,2.0,21,392080
4736,6.0,26,557506
4375,2.0,14,531752
3108,6.0,37,420181
3379,2.0,21,391519
1524,2.0,18,217390
3556,2.0,5,422917
2181,2.0,3,294153
3924,4.0,23,453070
855,1.0,26,81418
2438,3.0,37,275739
2544,5.0,24,345519
609,3.0,19,81149
3471,3.0,25,410220
1397,6.0,21,250236
1615,1.0,12,173222
2424,6.0,33,280962
3736,1.0,4,492327
2793,1.0,7,369238
823,2.0,22,59477
4758,,33,588261
4525,2.0,17,514885
4600,4.0,24,568104
2233,6.0,34,314821
2752,4.0,28,335847
1110,6.0,39,147337
984,3.0,22,111043
1004,3.0,17,112574
2600,4.0,34,293245
3356,4.0,6,436724
2268,6.0,6,322147
2060,2.0,34,246561
4236,6.0,1,620557
3324,2.0,10,382858
4778,3.0,21,576452
2648,1.0,5,328510
4746,4.0,2,617550
1316,2.0,22,157218
2423,6.0,2,388525
2681,3.0,10,355782
4019,2.0,34,414255
2174,6.0,16,346884
849,4.0,39,137453
1273,4.0,22,157096
2765,5.0,12,379713
1370,1.0,24,164249
4562,5.0,38,547750
4963,3.0,10,635934
2584,,35,356076
1677,3.0,32,175875
835,6.0,7,136193
988,4.0,21,157534
3637,5.0,20,490901
2448,5.0,26,318394
3414,5.0,4,506407
3974,3.0,22,435451
3878,,15,508757
1852,2.0,21,199604
4581,6.0,15,650396
2722,2.0,22,376405
2750,3.0,28,304650
1929,6.0,14,278548
1958,5.0,27,293557
3082,,28,324216
2617,3.0,26,313392
1931,3.0,2,265426
4944,4.0,25,540969
4861,2.0,3,584999
1958,3.0,8,239878
3777,3.0,33,424961
2728,5.0,35,390028
2780,5.0,6,349804
737,6.0,39,152351
4072,1.0,23,447311
3432,4.0,25,416287
4179,1.0,19,496496
3631,6.0,5,511766
4764,5.0,11,626778
3193,2.0,12,411840
4900,5.0,10,616560
4418,4.0,8,540102
4738,5.0,24,558515
4423,4.0,28,510282
4642,4.0,36,639102
2506,4.0,37,341130
1360,6.0,21,180667
4045,4.0,8,475901
1499,4.0,9,236040
3547,2.0,15,436322
2319,1.0,18,276551
880,3.0,20,114551
3866,1.0,6,448626
2487,4.0,12,341441
3866,2.0,2,474766
1266,5.0,7,145610
4788,2.0,16,554526
1271,4.0,3,177022
2569,2.0,3,327091
4756,2.0,27,634097
3722,4.0,38,453454
4500,6.0,33,558494
1123,2.0,28,153199
2993,3.0,1,402475
3717,3.0,8,475457
3193,2.0,37,371000
2568,,32,408616
2353,5.0,37,267268
2896,4.0,4,402448
2861,3.0,30,310223
2886,5.0,6,416355
4802,2.0,19,531869
3478,5.0,32,424048
4743,1.0,9,540792
4244,3.0,12,547934
2655,2.0,11,349678
1876,4.0,16,219168
3366,6.0,1,477538
902,2.0,21,87242
1238,4.0,30,128614
655,6.0,13,143214
1125,6.0,34,169320
4723,2.0,4,641146
2725,5.0,28,367763
3887,5.0,38,435076
964,6.0,31,146716
2246,5.0,27,331531
1518,1.0,5,246223
3397,6.0,25,403075
2131,6.0,3,275067
3945,4.0,33,530203
2506,5.0,4,370078
3686,6.0,25,457841
2675,1.0,20,314663
1313,4.0,34,91122
1662,2.0,26,190031
2576,6.0,5,390074
1896,1.0,35,218768
725,3.0,28,64358
4196,1.0,29,465310
3883,1.0,9,422982
2203,4.0,38,275406
666,2.0,6,72529
832,3.0,19,105636
2756,5.0,11,348865
1769,5.0,2,295569
2758,1.0,9,347123
4806,4.0,21,580451
2093,4.0,24,273042
4607,5.0,34,520547
3072,3.0,22,362889
3260,2.0,3,399793
3339,3.0,12,493208
2361,6.0,28,294555
4114,6.0,30,571035
2575,2.0,26,324830
2962,5.0,21,398849
1476,2.0,28,218898
4412,,26,547343
4048,6.0,33,527594
1912,1.0,21,208086
2060,1.0,35,246607
3309,5.0,34,447629
2924,4.0,18,355889
2333,3.0,11,260517
2205,4.0,23,279885
3163,1.0,22,328343
4021,1.0,17,455109
4117,6.0,5,594578
2997,4.0,11,377735
4335,4.0,30,521240
3470,1.0,15,397790
1760,,27,240452
842,5.0,35,62423
3190,5.0,33,384048
1663,4.0,20,233583
4924,5.0,16,658062
3195,1.0,34,326867
1519,1.0,2,130988
605,4.0,35,106166
1067,4.0,28,130044
4770,6.0,39,556060
603,4.0,6,103414
1245,3.0,9,171839
717,5.0,20,115312
3528,4.0,1,398353
3151,2.0,8,409676
4889,6.0,23,662881
1446,2.0,3,212235
3362,1.0,4,362699
1741,5.0,25,239170
2410,4.0,38,291354
1323,2.0,15,182108
824,5.0,21,164610
4808,1.0,35,503894
2648,3.0,14,335179
2173,6.0,36,310413
2428,5.0,12,383494
2517,5.0,17,365190
4834,3.0,39,577781
2626,5.0,9,368704
4344,1.0,35,514873
1501,1.0,13,184307
2639,3.0,15,304652
609,6.0,18,180536
860,4.0,33,140237
2273,2.0,6,270903
2819,4.0,27,337400
2660,5.0,23,362197
4313,2.0,27,507490
2219,3.0,34,265303
920,3.0,38,114539
1942,6.0,14,347528
2976,2.0,36,361186
3432,1.0,8,405799
3424,2.0,35,409999
2594,5.0,19,319534
3558,1.0,30,400107
2638,3.0,14,385849
4090,2.0,20,469808
4277,4.0,25,496425
1718,6.0,24,239207
2204,4.0,14,263971
4627,6.0,26,567362
835,5.0,38,114309
2569,4.0,23,285667
2508,2.0,22,292488
975,,19,146393
4130,4.0,3,504117
3235,2.0,19,424803
2170,5.0,9,329073
3160,1.0,28,375717
3991,5.0,20,490229
3565,6.0,7,517210
4243,5.0,14,513386
4450,6.0,9,617657
1472,2.0,19,181635
1852,1.0,14,227777
1914,2.0,38,169242
3498,3.0,36,377217
677,2.0,17,105371
3221,6.0,30,395964
4827,2.0,9,588201
1200,2.0,33,87385
1665,1.0,25,201920
2736,2.0,14,290864
3049,1.0,11,369003
2943,4.0,35,375213
2463,3.0,14,290541
1918,1.0,30,217030
4197,6.0,4,575668
4362,4.0,4,540664
2790,1.0,28,271993
1592,,8,129601
3312,3.0,2,433969
2792,6.0,22,337735
1848,5.0,16,271180
3654,5.0,29,452506
4633,1.0,30,532169
2597,2.0,12,305193
4287,6.0,35,531121
2751,4.0,11,385121
4618,2.0,21,545921
3710,2.0,21,440934
2570,6.0,5,393628
797,1.0,20,36587
3226,1.0,37,364293
1802,1.0,3,237004
2635,1.0,33,247924
1077,5.0,9,180732
1854,1.0,9,216230
1522,5.0,4,241195
1019,5.0,35,160200
2804,1.0,17,360001
3197,3.0,34,404308
1720,4.0,24,189633
3668,2.0,32,432082
1550,5.0,1,291917
2936,6.0,8,429644
2843,6.0,23,422074
3245,4.0,12,479143
2457,6.0,12,388866
2465,3.0,15,317954
3512,6.0,19,502432
3453,2.0,26,400241
3828,2.0,29,436137
4319,5.0,22,534742
3828,1.0,21,476922
2971,3.0,38,316512
3491,5.0,20,498436
4356,3.0,29,526135
4825,,4,523095
694,6.0,7,172439
3274,6.0,28,369909
2555,1.0,28,293990
1393,5.0,4,256951
2434,1.0,22,250739
2716,4.0,12,361646
4706,2.0,3,626214
3925,5.0,22,484802
3519,3.0,2,415517
3197,4.0,24,443304
3805,5.0,34,530652
1414,1.0,27,145320
945,1.0,1,152818
2949,1.0,8,384779
962,1.0,23,75755
3043,3.0,38,334785
2865,4.0,6,419201
2788,6.0,22,434770
3605,2.0,25,431461
3881,3.0,18,443320
1584,3.0,17,266371
2239,6.0,12,317155
1427,6.0,6,236850
3330,2.0,26,392020
4131,2.0,27,519289
3535,6.0,8,512544
4476,1.0,19,519385
726,3.0,1,141188
3777,5.0,29,475860
3656,2.0,35,425184
1203,2.0,14,75658
4049,6.0,35,504736
4746,4.0,20,589029
4133,5.0,13,500164
3967,5.0,38,497194
3968,2.0,8,470585
4397,1.0,20,549319
2392,4.0,33,342670
3461,5.0,26,427840
4076,2.0,39,447414
4017,5.0,21,509536
2245,4.0,9,293825
1805,4.0,24,244625
3630,3.0,37,395301
3472,6.0,17,434961
3672,6.0,24,502161
2454,2.0,21,305895
4621,4.0,39,520485
3308,3.0,39,405480
4102,3.0,13,482182
1932,5.0,11,291574
801,5.0,19,168925
4107,3.0,11,503096
4812,5.0,13,626422
1174,4.0,1,178317
1136,1.0,19,116946
2225,4.0,12,295299
2722,3.0,8,326032
985,3.0,8,143371
3881,4.0,12,445456
1074,5.0,33,144175
1017,5.0,26,152208
4200,6.0,39,518514
1554,3.0,28,182865
1805,2.0,5,229722
4720,6.0,8,637583
2590,5.0,25,369085
4172,4.0,27,487887
4980,5.0,23,584003
4758,4.0,30,539908
3313,6.0,23,428778
2803,3.0,20,332787
3720,5.0,18,458100
1566,4.0,18,179606
4032,3.0,2,492596
1288,2.0,4,178762
4843,4.0,30,598795
4301,6.0,33,528292
941,2.0,36,82625
2324,2.0,18,247859
2392,,37,244736
2359,5.0,19,298032
3812,4.0,28,481973
1589,2.0,20,135159
2862,1.0,33,293741
3082,6.0,12,439063
1551,3.0,15,210880
1322,4.0,39,246021
3989,2.0,2,496829
2679,5.0,29,318163
3317,1.0,10,381591
2932,2.0,2,311492
3976,5.0,11,516622
2100,2.0,13,230908
885,4.0,10,177236
4095,4.0,14,497638
2665,4.0,18,341372
1368,6.0,9,217453
3657,6.0,39,515920
4889,1.0,28,533997
2761,4.0,3,428891
3893,5.0,20,523119
1546,2.0,6,215052
3935,3.0,27,476186
4750,5.0,2,630663
2081,6.0,29,236684
2501,6.0,38,323648
4051,5.0,3,562619
4664,6.0,16,605693
654,4.0,30,57054
2423,1.0,2,289672
4062,2.0,17,527853
3679,1.0,12,461091
1432,2.0,35,150819
3406,2.0,1,449033
3090,1.0,15,341354
927,5.0,26,99288
3910,2.0,37,407516
3900,1.0,21,485186
4275,2.0,31,476205
3654,3.0,25,427908
2743,5.0,23,353849
1911,4.0,24,308089
3791,2.0,38,469143
3138,3.0,28,438833
4583,4.0,21,557073
764,4.0,18,135128
4877,2.0,36,502155
1422,1.0,35,180838
1543,2.0,9,161611
1374,3.0,38,163913
2798,4.0,30,312850
3756,2.0,34,403473
4842,1.0,32,508312
4295,2.0,3,502088
4052,5.0,3,521206
1514,1.0,28,139061
1908,3.0,15,271420
4777,4.0,23,548609
1113,2.0,11,151411
2520,1.0,32,302938
4194,5.0,36,498714
2009,1.0,33,184897
3790,6.0,24,490134
2155,5.0,39,311416
1404,3.0,34,171483
1879,4.0,28,226548
4177,3.0,37,495471
3501,2.0,7,391146
1987,1.0,4,259145
3361,6.0,37,444373
3279,5.0,1,441650
2706,5.0,1,359832
4823,1.0,20,519044
3368,6.0,19,470564
4553,1.0,29,540664
3786,2.0,10,434270
3880,3.0,18,483351
3173,5.0,28,343684
3199,2.0,35,338346
4633,3.0,31,539663
836,2.0,27,66449
1904,6.0,11,267664
4030,5.0,38,472816
1901,1.0,5,236380
3141,1.0,8,360995
2651,3.0,34,241918
1041,4.0,12,101693
2676,6.0,38,333934
3780,3.0,1,492230
3257,4.0,31,314929
4398,2.0,4,515978
1404,6.0,5,229672
674,2.0,30,113160
2775,5.0,24,353774
4524,6.0,3,618149
2689,4.0,11,360272
640,5.0,4,79883
2681,1.0,26,315161
2222,4.0,27,289591
941,3.0,27,136063
4652,1.0,6,660567
